校名,101學年度,102學年度,103學年度,104學年度,105學年度,106學年度,107學年度,108學年度,109學年度,110學年度,111學年度
市立大業國中,1142,1066,948,818,631,376,423,372,329,296,273
市立北興國中,2552,2316,2124,1865,1716,1560,1584,1401,1543,1503,1503
市立嘉義國中,1580,1510,1446,1267,1133,904,994,668,893,835,806
市立南興國中,635,691,733,735,748,683,723,524,700,697,666
市立民生國中,2601,2493,2280,2053,1931,1833,1889,1808,1851,1785,1721
市立玉山國中,1195,1170,1136,1049,895,1045,687,637,640,607,558
市立蘭潭國中,690,666,684,663,615,503,529,417,499,496,472
市立北園國中,553,613,612,594,559,430,473,432,412,366,343
市立崇文國小,1581,1413,1400,1353,1357,1461,1353,1260,1432,1403,1369
市立博愛國小,1636,1513,1478,1384,1334,1276,1299,1176,1277,1239,1235
市立垂楊國小,1006,931,831,802,510,637,664,634,630,600,608
市立民族國小,588,540,541,521,747,611,593,600,574,578,581
市立宣信國小,1005,917,872,791,762,727,707,725,720,706,736
市立大同國小,1069,978,946,915,917,821,857,735,846,816,809
市立志航國小,957,897,885,871,692,816,803,808,792,803,826
市立嘉北國小,1723,1621,1582,1516,868,1339,1361,1186,1319,1367,1406
市立僑平國小,931,837,793,760,612,675,658,666,646,659,693
市立林森國小,737,700,666,620,294,530,572,541,517,495,490
市立北園國小,291,291,308,292,1387,298,298,309,292,310,312
市立精忠國小,168,148,138,159,162,208,181,209,242,262,288
市立育人國小,750,682,629,597,540,507,526,512,507,499,518
市立蘭潭國小,876,785,755,713,667,566,588,582,533,539,566
市立興安國小,899,820,758,701,663,681,666,672,712,753,820
市立世賢國小,1220,1136,1111,1031,957,833,883,844,804,775,820
市立興嘉國小,1429,1388,1340,1297,1275,1314,1321,1320,1275,1281,1274
市立港坪國小,626,637,622,614,638,657,666,666,653,651,630
市立文雅國小,355,343,333,320,321,311,312,332,312,310,307
