校名,校長,一般電話及網路電話,傳真,校址
崇文國民小學,許原嘉,2222310,2254467,嘉義市東區垂楊路241號
博愛國民小學,張英裕,2322863,2334043,嘉義市西區友愛路822號
民族國民小學,陳文瑜,2222113,2254501,嘉義市東區民族路235號
垂楊國民小學,邱家偉,2853151,2854960,嘉義市西區垂楊路605號
宣信國民小學,謝聖雅,2223904,2248726,嘉義市東區宣信街266號
大同國民小學,楊宗明,2222114,2254752,嘉義市西區成功街15號
僑平國民小學,何憲昌,2333746,2334352,嘉義市西區德安路10號
志航國民小學,鄭宛鈺,2857924,2852473,嘉義市西區世賢路四段141號
林森國民小學,吳育楷,2762063,2750772,嘉義市東區林森東路346號
北園國民小學,吳長頴,2371330,2372143,嘉義市西區北社尾路168號
嘉北國民小學,侯怡如,2757091,2767534,嘉義市東區嘉北街65號
精忠國民小學,楊勛凱,2760474,2789401,嘉義市東區林森東路840號
育人國民小學,楊家豪,2351595,2868791,嘉義市西區育人路211號
蘭潭國民小學,邱榮輝,2763492,2786652,嘉義市東區小雅路419號
興安國民小學,查顯良,2232280,2252780,嘉義市東區興美六路2號
世賢國民小學,翁崇文,2338264,2339286,嘉義市西區世賢路一段687號
興嘉國民小學,朱麗乖,2860885,2851026,嘉義市西區重慶路51號
港坪國民小學,郭明聰,2369037,2358022,嘉義市西區四維路63號
文雅國民小學,黃金木,2768011,2764543,嘉義市東區文雅街2號
大業國民中學,陳明君,2223082,2241349,嘉義市東區大業街57號
北興國民中學,張仁澤,2766602,2766210,嘉義市東區博東路262號
嘉義國民中學,莊裕庭,2762625,2750748,嘉義市東區圓福街86號
南興國民中學,柯博議,2224383,2220822,嘉義市東區芳安路111號
民生國民中學,張金龍,2855331,2830067,嘉義市西區新民路601號
玉山國民中學,鄭振銘,2357980,2838348,嘉義市西區友忠路1號
蘭潭國民中學,陳建銘,2773582,2763581,嘉義市東區民權東路32號
北園國民中學,謝宜岑,2374673,2371747,嘉義市西區雙園街280號
